Country,Year,Wind,Solar,GeoBiomassOther,Hydro,Total_WSO,Total,TypeCode,Continent,Region,ISO3,Latitude,Longitude
Algeria,1965,0.0,0.0,0.0,0.4,0.0,0.4,Country,Africa,Northern Africa,DZA,36.7764,3.0586
Algeria,1966,0.0,0.0,0.0,0.36,0.0,0.36,Country,Africa,Northern Africa,DZA,36.7764,3.0586
Algeria,1967,0.0,0.0,0.0,0.41,0.0,0.41,Country,Africa,Northern Africa,DZA,36.7764,3.0586
Algeria,1968,0.0,0.0,0.0,0.56,0.0,0.56,Country,Africa,Northern Africa,DZA,36.7764,3.0586
Algeria,1969,0.0,0.0,0.0,0.36,0.0,0.36,Country,Africa,Northern Africa,DZA,36.7764,3.0586
Algeria,1970,0.0,0.0,0.0,0.58,0.0,0.58,Country,Africa,Northern Africa,DZA,36.7764,3.0586
Algeria,1971,0.0,0.0,0.0,0.33,0.0,0.33,Country,Africa,Northern Africa,DZA,36.7764,3.0586
Algeria,1972,0.0,0.0,0.0,0.5,0.0,0.5,Country,Africa,Northern Africa,DZA,36.7764,3.0586
Algeria,1973,0.0,0.0,0.0,0.75,0.0,0.75,Country,Africa,Northern Africa,DZA,36.7764,3.0586
Algeria,1974,0.0,0.0,0.0,0.5,0.0,0.5,Country,Africa,Northern Africa,DZA,36.7764,3.0586
Algeria,1975,0.0,0.0,0.0,0.33,0.0,0.33,Country,Africa,Northern Africa,DZA,36.7764,3.0586
Algeria,1976,0.0,0.0,0.0,0.39,0.0,0.39,Country,Africa,Northern Africa,DZA,36.7764,3.0586
Algeria,1977,0.0,0.0,0.0,0.27,0.0,0.27,Country,Africa,Northern Africa,DZA,36.7764,3.0586
Algeria,1978,0.0,0.0,0.0,0.25,0.0,0.25,Country,Africa,Northern Africa,DZA,36.7764,3.0586
Algeria,1979,0.0,0.0,0.0,0.29,0.0,0.29,Country,Africa,Northern Africa,DZA,36.7764,3.0586
Algeria,1980,0.0,0.0,0.0,0.26,0.0,0.26,Country,Africa,Northern Africa,DZA,36.7764,3.0586
Algeria,1981,0.0,0.0,0.0,0.37,0.0,0.37,Country,Africa,Northern Africa,DZA,36.7764,3.0586
Algeria,1982,0.0,0.0,0.0,0.48,0.0,0.48,Country,Africa,Northern Africa,DZA,36.7764,3.0586
Algeria,1983,0.0,0.0,0.0,0.24,0.0,0.24,Country,Africa,Northern Africa,DZA,36.7764,3.0586
Algeria,1984,0.0,0.0,0.0,0.45,0.0,0.45,Country,Africa,Northern Africa,DZA,36.7764,3.0586
Algeria,1985,0.0,0.0,0.0,0.65,0.0,0.65,Country,Africa,Northern Africa,DZA,36.7764,3.0586
Algeria,1986,0.0,0.0,0.0,0.25,0.0,0.25,Country,Africa,Northern Africa,DZA,36.7764,3.0586
Algeria,1987,0.0,0.0,0.0,0.5,0.0,0.5,Country,Africa,Northern Africa,DZA,36.7764,3.0586
Algeria,1988,0.0,0.0,0.0,0.18,0.0,0.18,Country,Africa,Northern Africa,DZA,36.7764,3.0586
Algeria,1989,0.0,0.0,0.0,0.23,0.0,0.23,Country,Africa,Northern Africa,DZA,36.7764,3.0586
Algeria,1990,0.0,0.0,0.0,0.14,0.0,0.14,Country,Africa,Northern Africa,DZA,36.7764,3.0586
Algeria,1991,0.0,0.0,0.0,0.29,0.0,0.29,Country,Africa,Northern Africa,DZA,36.7764,3.0586
Algeria,1992,0.0,0.0,0.0,0.2,0.0,0.2,Country,Africa,Northern Africa,DZA,36.7764,3.0586
Algeria,1993,0.0,0.0,0.0,0.35,0.0,0.35,Country,Africa,Northern Africa,DZA,36.7764,3.0586
Algeria,1994,0.0,0.0,0.0,0.17,0.0,0.17,Country,Africa,Northern Africa,DZA,36.7764,3.0586
Algeria,1995,0.0,0.0,0.0,0.19,0.0,0.19,Country,Africa,Northern Africa,DZA,36.7764,3.0586
Algeria,1996,0.0,0.0,0.0,0.14,0.0,0.14,Country,Africa,Northern Africa,DZA,36.7764,3.0586
Algeria,1997,0.0,0.0,0.0,0.08,0.0,0.08,Country,Africa,Northern Africa,DZA,36.7764,3.0586
Algeria,1998,0.0,0.0,0.0,0.22,0.0,0.22,Country,Africa,Northern Africa,DZA,36.7764,3.0586
Algeria,1999,0.0,0.0,0.0,0.2,0.0,0.2,Country,Africa,Northern Africa,DZA,36.7764,3.0586
Algeria,2000,0.0,0.0,0.0,0.05,0.0,0.05,Country,Africa,Northern Africa,DZA,36.7764,3.0586
Algeria,2001,0.0,0.0,0.0,0.07,0.0,0.07,Country,Africa,Northern Africa,DZA,36.7764,3.0586
Algeria,2002,0.0,0.0,0.0,0.06,0.0,0.06,Country,Africa,Northern Africa,DZA,36.7764,3.0586
Algeria,2003,0.0,0.0,0.0,0.26,0.0,0.26,Country,Africa,Northern Africa,DZA,36.7764,3.0586
Algeria,2004,0.0,0.0,0.0,0.25,0.0,0.25,Country,Africa,Northern Africa,DZA,36.7764,3.0586
Algeria,2005,0.0,0.0,0.0,0.56,0.0,0.56,Country,Africa,Northern Africa,DZA,36.7764,3.0586
