"REF_DATE","GEO","DGUID","Age group","Sex","Indicators","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110787641","1.1.1.15.1","5344100","","","","0"
"2016","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110787641","1.1.1.15.1","5160800","","","","0"
"2017","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110787641","1.1.1.15.1","5006100","","","","0"
"2018","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110787641","1.1.1.15.1","4926800","","","","0"
"2019","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110787641","1.1.1.15.1","4684400","","","","0"
"2015","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Current smoker, daily or occasional","Percent","Percent","239","units","0","v110787644","1.1.1.15.4","17.7","","","","1"
"2016","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Current smoker, daily or occasional","Percent","Percent","239","units","0","v110787644","1.1.1.15.4","16.9","","","","1"
"2017","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Current smoker, daily or occasional","Percent","Percent","239","units","0","v110787644","1.1.1.15.4","16.2","","","","1"
"2018","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Current smoker, daily or occasional","Percent","Percent","239","units","0","v110787644","1.1.1.15.4","15.8","","","","1"
"2019","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Current smoker, daily or occasional","Percent","Percent","239","units","0","v110787644","1.1.1.15.4","14.8","","","","1"
"2015","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Current smoker, daily","Number of persons","Number","223","units","0","v110787648","1.1.1.16.1","3809500","","","","0"
"2016","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Current smoker, daily","Number of persons","Number","223","units","0","v110787648","1.1.1.16.1","3668200","","","","0"
"2017","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Current smoker, daily","Number of persons","Number","223","units","0","v110787648","1.1.1.16.1","3577000","","","","0"
"2018","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Current smoker, daily","Number of persons","Number","223","units","0","v110787648","1.1.1.16.1","3392700","","","","0"
"2019","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Current smoker, daily","Number of persons","Number","223","units","0","v110787648","1.1.1.16.1","3160100","","","","0"
"2015","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Current smoker, daily","Percent","Percent","239","units","0","v110787651","1.1.1.16.4","12.6","","","","1"
"2016","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Current smoker, daily","Percent","Percent","239","units","0","v110787651","1.1.1.16.4","12.0","","","","1"
"2017","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Current smoker, daily","Percent","Percent","239","units","0","v110787651","1.1.1.16.4","11.6","","","","1"
"2018","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Current smoker, daily","Percent","Percent","239","units","0","v110787651","1.1.1.16.4","10.9","","","","1"
"2019","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Current smoker, daily","Percent","Percent","239","units","0","v110787651","1.1.1.16.4","10.0","","","","1"
"2015","Canada (excluding territories)","","Total, 12 years and over","Males","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110787823","1.1.2.15.1","3040300","","","","0"
"2016","Canada (excluding territories)","","Total, 12 years and over","Males","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110787823","1.1.2.15.1","2920000","","","","0"
"2017","Canada (excluding territories)","","Total, 12 years and over","Males","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110787823","1.1.2.15.1","2915600","","","","0"
"2018","Canada (excluding territories)","","Total, 12 years and over","Males","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110787823","1.1.2.15.1","2865800","","","","0"
"2019","Canada (excluding territories)","","Total, 12 years and over","Males","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110787823","1.1.2.15.1","2710400","","","","0"
"2015","Canada (excluding territories)","","Total, 12 years and over","Males","Current smoker, daily or occasional","Percent","Percent","239","units","0","v110787826","1.1.2.15.4","20.4","","","","1"
"2016","Canada (excluding territories)","","Total, 12 years and over","Males","Current smoker, daily or occasional","Percent","Percent","239","units","0","v110787826","1.1.2.15.4","19.4","","","","1"
"2017","Canada (excluding territories)","","Total, 12 years and over","Males","Current smoker, daily or occasional","Percent","Percent","239","units","0","v110787826","1.1.2.15.4","19.1","","","","1"
"2018","Canada (excluding territories)","","Total, 12 years and over","Males","Current smoker, daily or occasional","Percent","Percent","239","units","0","v110787826","1.1.2.15.4","18.6","","","","1"
"2019","Canada (excluding territories)","","Total, 12 years and over","Males","Current smoker, daily or occasional","Percent","Percent","239","units","0","v110787826","1.1.2.15.4","17.3","","","","1"
"2015","Canada (excluding territories)","","Total, 12 years and over","Males","Current smoker, daily","Number of persons","Number","223","units","0","v110787830","1.1.2.16.1","2144100","","","","0"
