"REF_DATE","GEO","DGUID","Selected characteristic","Indicators","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Canada (excluding territories)","","Household income, first quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111666424","1.1.15.1","1384900","","","","0"
"2016","Canada (excluding territories)","","Household income, first quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111666424","1.1.15.1","1430100","","","","0"
"2017","Canada (excluding territories)","","Household income, first quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111666424","1.1.15.1","1342700","","","","0"
"2018","Canada (excluding territories)","","Household income, first quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111666424","1.1.15.1","1326900","","","","0"
"2019","Canada (excluding territories)","","Household income, first quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111666424","1.1.15.1","1281900","","","","0"
"2015","Canada (excluding territories)","","Household income, first quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111666427","1.1.15.4","22.8","","","","1"
"2016","Canada (excluding territories)","","Household income, first quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111666427","1.1.15.4","23.4","","","","1"
"2017","Canada (excluding territories)","","Household income, first quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111666427","1.1.15.4","21.7","","","","1"
"2018","Canada (excluding territories)","","Household income, first quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111666427","1.1.15.4","21.2","","","","1"
"2019","Canada (excluding territories)","","Household income, first quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111666427","1.1.15.4","20.2","","","","1"
"2015","Canada (excluding territories)","","Household income, first quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111666430","1.1.16.1","1068300","","","","0"
"2016","Canada (excluding territories)","","Household income, first quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111666430","1.1.16.1","1085900","","","","0"
"2017","Canada (excluding territories)","","Household income, first quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111666430","1.1.16.1","1032700","","","","0"
"2018","Canada (excluding territories)","","Household income, first quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111666430","1.1.16.1","954000","","","","0"
"2019","Canada (excluding territories)","","Household income, first quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111666430","1.1.16.1","897200","","","","0"
"2015","Canada (excluding territories)","","Household income, first quintile","Current smoker, daily","Percent","Percent","239","units","0","v111666433","1.1.16.4","17.6","","","","1"
"2016","Canada (excluding territories)","","Household income, first quintile","Current smoker, daily","Percent","Percent","239","units","0","v111666433","1.1.16.4","17.8","","","","1"
"2017","Canada (excluding territories)","","Household income, first quintile","Current smoker, daily","Percent","Percent","239","units","0","v111666433","1.1.16.4","16.7","","","","1"
"2018","Canada (excluding territories)","","Household income, first quintile","Current smoker, daily","Percent","Percent","239","units","0","v111666433","1.1.16.4","15.3","","","","1"
"2019","Canada (excluding territories)","","Household income, first quintile","Current smoker, daily","Percent","Percent","239","units","0","v111666433","1.1.16.4","14.1","","","","1"
"2015","Canada (excluding territories)","","Household income, second quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111666580","1.2.15.1","1097400","","","","0"
"2016","Canada (excluding territories)","","Household income, second quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111666580","1.2.15.1","1109500","","","","0"
"2017","Canada (excluding territories)","","Household income, second quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111666580","1.2.15.1","1068700","","","","0"
"2018","Canada (excluding territories)","","Household income, second quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111666580","1.2.15.1","1124500","","","","0"
"2019","Canada (excluding territories)","","Household income, second quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111666580","1.2.15.1","992700","","","","0"
"2015","Canada (excluding territories)","","Household income, second quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111666583","1.2.15.4","18.1","","","","1"
"2016","Canada (excluding territories)","","Household income, second quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111666583","1.2.15.4","18.2","","","","1"
"2017","Canada (excluding territories)","","Household income, second quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111666583","1.2.15.4","17.3","","","","1"
"2018","Canada (excluding territories)","","Household income, second quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111666583","1.2.15.4","18.0","","","","1"
"2019","Canada (excluding territories)","","Household income, second quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111666583","1.2.15.4","15.6","","","","1"
"2015","Canada (excluding territories)","","Household income, second quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111666586","1.2.16.1","779300","","","","0"
"2016","Canada (excluding territories)","","Household income, second quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111666586","1.2.16.1","816700","","","","0"
"2017","Canada (excluding territories)","","Household income, second quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111666586","1.2.16.1","803500","","","","0"
"2018","Canada (excluding territories)","","Household income, second quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111666586","1.2.16.1","810100","","","","0"
"2019","Canada (excluding territories)","","Household income, second quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111666586","1.2.16.1","688400","","","","0"
"2015","Canada (excluding territories)","","Household income, second quintile","Current smoker, daily","Percent","Percent","239","units","0","v111666589","1.2.16.4","12.9","","","","1"
"2016","Canada (excluding territories)","","Household income, second quintile","Current smoker, daily","Percent","Percent","239","units","0","v111666589","1.2.16.4","13.4","","","","1"
"2017","Canada (excluding territories)","","Household income, second quintile","Current smoker, daily","Percent","Percent","239","units","0","v111666589","1.2.16.4","13.0","","","","1"
"2018","Canada (excluding territories)","","Household income, second quintile","Current smoker, daily","Percent","Percent","239","units","0","v111666589","1.2.16.4","13.0","","","","1"
"2019","Canada (excluding territories)","","Household income, second quintile","Current smoker, daily","Percent","Percent","239","units","0","v111666589","1.2.16.4","10.8","","","","1"
"2015","Canada (excluding territories)","","Household income, third quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111666736","1.3.15.1","1047200","","","","0"
"2016","Canada (excluding territories)","","Household income, third quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111666736","1.3.15.1","994000","","","","0"
"2017","Canada (excluding territories)","","Household income, third quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111666736","1.3.15.1","987300","","","","0"
"2018","Canada (excluding territories)","","Household income, third quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111666736","1.3.15.1","942800","","","","0"
"2019","Canada (excluding territories)","","Household income, third quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111666736","1.3.15.1","894100","","","","0"
"2015","Canada (excluding territories)","","Household income, third quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111666739","1.3.15.4","16.9","","","","1"
"2016","Canada (excluding territories)","","Household income, third quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111666739","1.3.15.4","16.3","","","","1"
"2017","Canada (excluding territories)","","Household income, third quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111666739","1.3.15.4","16.0","","","","1"
