"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Actual incidents","Number","223","units","0","v67698194","1.4.1","85301","","","","0"
"2010","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Actual incidents","Number","223","units","0","v67698194","1.4.1","84388","","","","0"
"2011","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Actual incidents","Number","223","units","0","v67698194","1.4.1","83267","","","","0"
"2012","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Actual incidents","Number","223","units","0","v67698194","1.4.1","84795","","","","0"
"2013","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Actual incidents","Number","223","units","0","v67698194","1.4.1","79882","","","","0"
"2014","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Actual incidents","Number","223","units","0","v67698194","1.4.1","77227","","","","0"
"2015","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Actual incidents","Number","223","units","0","v67698194","1.4.1","78975","","","","0"
"2016","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Actual incidents","Number","223","units","0","v67698194","1.4.1","83377","","","","0"
"2017","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Actual incidents","Number","223","units","0","v67698194","1.4.1","88297","","","","0"
"2018","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Actual incidents","Number","223","units","0","v67698194","1.4.1","90307","","","","0"
"2019","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Actual incidents","Number","223","units","0","v67698194","1.4.1","95824","","","","0"
"2011","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Unfounded incidents","Number","223","units","0","v1000627640","1.4.15","","..","","","0"
"2012","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Unfounded incidents","Number","223","units","0","v1000627640","1.4.15","","..","","","0"
"2013","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Unfounded incidents","Number","223","units","0","v1000627640","1.4.15","","..","","","0"
"2014","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Unfounded incidents","Number","223","units","0","v1000627640","1.4.15","","..","","","0"
"2015","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Unfounded incidents","Number","223","units","0","v1000627640","1.4.15","","..","","","0"
"2016","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Unfounded incidents","Number","223","units","0","v1000627640","1.4.15","","..","","","0"
"2017","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Unfounded incidents","Number","223","units","0","v1000627640","1.4.15","4566","","","","0"
"2018","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Unfounded incidents","Number","223","units","0","v1000627640","1.4.15","4701","","","","0"
"2019","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Unfounded incidents","Number","223","units","0","v1000627640","1.4.15","4156","","","","0"
"2009","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Total cleared","Number","223","units","0","v67698197","1.4.4","66205","","","","0"
"2010","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Total cleared","Number","223","units","0","v67698197","1.4.4","65922","","","","0"
"2011","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Total cleared","Number","223","units","0","v67698197","1.4.4","65212","","","","0"
"2012","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Total cleared","Number","223","units","0","v67698197","1.4.4","65797","","","","0"
"2013","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Total cleared","Number","223","units","0","v67698197","1.4.4","62305","","","","0"
"2014","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Total cleared","Number","223","units","0","v67698197","1.4.4","62104","","","","0"
"2015","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Total cleared","Number","223","units","0","v67698197","1.4.4","61800","","","","0"
"2016","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Total cleared","Number","223","units","0","v67698197","1.4.4","65134","","","","0"
"2017","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Total cleared","Number","223","units","0","v67698197","1.4.4","69000","","","","0"
"2018","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Total cleared","Number","223","units","0","v67698197","1.4.4","71012","","","","0"
"2019","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Total cleared","Number","223","units","0","v67698197","1.4.4","74003","","","","0"
"2009","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Total, adult charged","Number","223","units","0","v67698202","1.4.9","29586","","","","0"
"2010","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Total, adult charged","Number","223","units","0","v67698202","1.4.9","29416","","","","0"
"2011","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Total, adult charged","Number","223","units","0","v67698202","1.4.9","28341","","","","0"
"2012","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Total, adult charged","Number","223","units","0","v67698202","1.4.9","29509","","","","0"
"2013","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Total, adult charged","Number","223","units","0","v67698202","1.4.9","27606","","","","0"
"2014","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Total, adult charged","Number","223","units","0","v67698202","1.4.9","27562","","","","0"
"2015","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Total, adult charged","Number","223","units","0","v67698202","1.4.9","28023","","","","0"
"2016","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Total, adult charged","Number","223","units","0","v67698202","1.4.9","28963","","","","0"
"2017","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Total, adult charged","Number","223","units","0","v67698202","1.4.9","30311","","","","0"
"2018","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Total, adult charged","Number","223","units","0","v67698202","1.4.9","32268","","","","0"
"2019","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Total, adult charged","Number","223","units","0","v67698202","1.4.9","42442","","","","0"
"2009","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Total, youth charged","Number","223","units","0","v67698204","1.4.11","3868","","","","0"
"2010","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Total, youth charged","Number","223","units","0","v67698204","1.4.11","3750","","","","0"
"2011","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Total, youth charged","Number","223","units","0","v67698204","1.4.11","3280","","","","0"
"2012","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Total, youth charged","Number","223","units","0","v67698204","1.4.11","3471","","","","0"
"2013","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Total, youth charged","Number","223","units","0","v67698204","1.4.11","3297","","","","0"
"2014","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Total, youth charged","Number","223","units","0","v67698204","1.4.11","2922","","","","0"
"2015","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Total, youth charged","Number","223","units","0","v67698204","1.4.11","2746","","","","0"
"2016","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Total, youth charged","Number","223","units","0","v67698204","1.4.11","2968","","","","0"
"2017","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Total, youth charged","Number","223","units","0","v67698204","1.4.11","3050","","","","0"
"2018","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Total, youth charged","Number","223","units","0","v67698204","1.4.11","3184","","","","0"
"2019","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Total, youth charged","Number","223","units","0","v67698204","1.4.11","4333","","","","0"
"2009","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Total, youth not charged","Number","223","units","0","v67698206","1.4.13","5600","","","","0"
"2010","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Total, youth not charged","Number","223","units","0","v67698206","1.4.13","5227","","","","0"
"2011","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Total, youth not charged","Number","223","units","0","v67698206","1.4.13","5672","","","","0"
"2012","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Total, youth not charged","Number","223","units","0","v67698206","1.4.13","4699","","","","0"
"2013","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Total, youth not charged","Number","223","units","0","v67698206","1.4.13","4253","","","","0"
"2014","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Total, youth not charged","Number","223","units","0","v67698206","1.4.13","3838","","","","0"
"2015","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Total, youth not charged","Number","223","units","0","v67698206","1.4.13","3783","","","","0"
"2016","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Total, youth not charged","Number","223","units","0","v67698206","1.4.13","4079","","","","0"
"2017","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Total, youth not charged","Number","223","units","0","v67698206","1.4.13","4441","","","","0"
"2018","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Total, youth not charged","Number","223","units","0","v67698206","1.4.13","4519","","","","0"
"2019","Quebec [24]","2016A000224","Total violent Criminal Code violations [100]","Total, youth not charged","Number","223","units","0","v67698206","1.4.13","4315","","","","0"
"2009","Quebec [24]","2016A000224","Total property crime violations [200]","Actual incidents","Number","223","units","0","v67699020","1.64.1","264986","","","","0"
"2010","Quebec [24]","2016A000224","Total property crime violations [200]","Actual incidents","Number","223","units","0","v67699020","1.64.1","246588","","","","0"
"2011","Quebec [24]","2016A000224","Total property crime violations [200]","Actual incidents","Number","223","units","0","v67699020","1.64.1","228290","","","","0"
"2012","Quebec [24]","2016A000224","Total property crime violations [200]","Actual incidents","Number","223","units","0","v67699020","1.64.1","219123","","","","0"
"2013","Quebec [24]","2016A000224","Total property crime violations [200]","Actual incidents","Number","223","units","0","v67699020","1.64.1","190773","","","","0"
"2014","Quebec [24]","2016A000224","Total property crime violations [200]","Actual incidents","Number","223","units","0","v67699020","1.64.1","172363","","","","0"
"2015","Quebec [24]","2016A000224","Total property crime violations [200]","Actual incidents","Number","223","units","0","v67699020","1.64.1","165509","","","","0"
"2016","Quebec [24]","2016A000224","Total property crime violations [200]","Actual incidents","Number","223","units","0","v67699020","1.64.1","156096","","","","0"
"2017","Quebec [24]","2016A000224","Total property crime violations [200]","Actual incidents","Number","223","units","0","v67699020","1.64.1","154829","","","","0"
"2018","Quebec [24]","2016A000224","Total property crime violations [200]","Actual incidents","Number","223","units","0","v67699020","1.64.1","148841","","","","0"
"2019","Quebec [24]","2016A000224","Total property crime violations [200]","Actual incidents","Number","223","units","0","v67699020","1.64.1","145959","","","","0"
"2011","Quebec [24]","2016A000224","Total property crime violations [200]","Unfounded incidents","Number","223","units","0","v1000627758","1.64.15","","..","","","0"
"2012","Quebec [24]","2016A000224","Total property crime violations [200]","Unfounded incidents","Number","223","units","0","v1000627758","1.64.15","","..","","","0"
"2013","Quebec [24]","2016A000224","Total property crime violations [200]","Unfounded incidents","Number","223","units","0","v1000627758","1.64.15","","..","","","0"
"2014","Quebec [24]","2016A000224","Total property crime violations [200]","Unfounded incidents","Number","223","units","0","v1000627758","1.64.15","","..","","","0"
"2015","Quebec [24]","2016A000224","Total property crime violations [200]","Unfounded incidents","Number","223","units","0","v1000627758","1.64.15","","..","","","0"
"2016","Quebec [24]","2016A000224","Total property crime violations [200]","Unfounded incidents","Number","223","units","0","v1000627758","1.64.15","","..","","","0"
"2017","Quebec [24]","2016A000224","Total property crime violations [200]","Unfounded incidents","Number","223","units","0","v1000627758","1.64.15","4659","","","","0"
"2018","Quebec [24]","2016A000224","Total property crime violations [200]","Unfounded incidents","Number","223","units","0","v1000627758","1.64.15","4264","","","","0"
"2019","Quebec [24]","2016A000224","Total property crime violations [200]","Unfounded incidents","Number","223","units","0","v1000627758","1.64.15","3895","","","","0"
"2009","Quebec [24]","2016A000224","Total property crime violations [200]","Total cleared","Number","223","units","0","v67699023","1.64.4","51081","","","","0"
"2010","Quebec [24]","2016A000224","Total property crime violations [200]","Total cleared","Number","223","units","0","v67699023","1.64.4","48298","","","","0"
"2011","Quebec [24]","2016A000224","Total property crime violations [200]","Total cleared","Number","223","units","0","v67699023","1.64.4","44703","","","","0"
"2012","Quebec [24]","2016A000224","Total property crime violations [200]","Total cleared","Number","223","units","0","v67699023","1.64.4","45587","","","","0"
"2013","Quebec [24]","2016A000224","Total property crime violations [200]","Total cleared","Number","223","units","0","v67699023","1.64.4","40829","","","","0"
"2014","Quebec [24]","2016A000224","Total property crime violations [200]","Total cleared","Number","223","units","0","v67699023","1.64.4","38235","","","","0"
"2015","Quebec [24]","2016A000224","Total property crime violations [200]","Total cleared","Number","223","units","0","v67699023","1.64.4","37567","","","","0"
"2016","Quebec [24]","2016A000224","Total property crime violations [200]","Total cleared","Number","223","units","0","v67699023","1.64.4","34162","","","","0"
"2017","Quebec [24]","2016A000224","Total property crime violations [200]","Total cleared","Number","223","units","0","v67699023","1.64.4","34371","","","","0"
"2018","Quebec [24]","2016A000224","Total property crime violations [200]","Total cleared","Number","223","units","0","v67699023","1.64.4","34463","","","","0"
"2019","Quebec [24]","2016A000224","Total property crime violations [200]","Total cleared","Number","223","units","0","v67699023","1.64.4","35085","","","","0"
"2009","Quebec [24]","2016A000224","Total property crime violations [200]","Total, adult charged","Number","223","units","0","v67699028","1.64.9","23809","","","","0"
"2010","Quebec [24]","2016A000224","Total property crime violations [200]","Total, adult charged","Number","223","units","0","v67699028","1.64.9","23086","","","","0"
"2011","Quebec [24]","2016A000224","Total property crime violations [200]","Total, adult charged","Number","223","units","0","v67699028","1.64.9","22412","","","","0"
"2012","Quebec [24]","2016A000224","Total property crime violations [200]","Total, adult charged","Number","223","units","0","v67699028","1.64.9","23469","","","","0"
"2013","Quebec [24]","2016A000224","Total property crime violations [200]","Total, adult charged","Number","223","units","0","v67699028","1.64.9","21558","","","","0"
"2014","Quebec [24]","2016A000224","Total property crime violations [200]","Total, adult charged","Number","223","units","0","v67699028","1.64.9","18922","","","","0"
"2015","Quebec [24]","2016A000224","Total property crime violations [200]","Total, adult charged","Number","223","units","0","v67699028","1.64.9","19033","","","","0"
"2016","Quebec [24]","2016A000224","Total property crime violations [200]","Total, adult charged","Number","223","units","0","v67699028","1.64.9","17514","","","","0"
"2017","Quebec [24]","2016A000224","Total property crime violations [200]","Total, adult charged","Number","223","units","0","v67699028","1.64.9","17267","","","","0"
"2018","Quebec [24]","2016A000224","Total property crime violations [200]","Total, adult charged","Number","223","units","0","v67699028","1.64.9","17676","","","","0"
"2019","Quebec [24]","2016A000224","Total property crime violations [200]","Total, adult charged","Number","223","units","0","v67699028","1.64.9","19700","","","","0"
"2009","Quebec [24]","2016A000224","Total property crime violations [200]","Total, youth charged","Number","223","units","0","v67699030","1.64.11","3839","","","","0"
"2010","Quebec [24]","2016A000224","Total property crime violations [200]","Total, youth charged","Number","223","units","0","v67699030","1.64.11","3483","","","","0"
"2011","Quebec [24]","2016A000224","Total property crime violations [200]","Total, youth charged","Number","223","units","0","v67699030","1.64.11","2972","","","","0"
"2012","Quebec [24]","2016A000224","Total property crime violations [200]","Total, youth charged","Number","223","units","0","v67699030","1.64.11","3304","","","","0"
"2013","Quebec [24]","2016A000224","Total property crime violations [200]","Total, youth charged","Number","223","units","0","v67699030","1.64.11","2692","","","","0"
"2014","Quebec [24]","2016A000224","Total property crime violations [200]","Total, youth charged","Number","223","units","0","v67699030","1.64.11","2016","","","","0"
"2015","Quebec [24]","2016A000224","Total property crime violations [200]","Total, youth charged","Number","223","units","0","v67699030","1.64.11","1929","","","","0"
"2016","Quebec [24]","2016A000224","Total property crime violations [200]","Total, youth charged","Number","223","units","0","v67699030","1.64.11","1699","","","","0"
"2017","Quebec [24]","2016A000224","Total property crime violations [200]","Total, youth charged","Number","223","units","0","v67699030","1.64.11","1557","","","","0"
"2018","Quebec [24]","2016A000224","Total property crime violations [200]","Total, youth charged","Number","223","units","0","v67699030","1.64.11","1399","","","","0"
"2019","Quebec [24]","2016A000224","Total property crime violations [200]","Total, youth charged","Number","223","units","0","v67699030","1.64.11","1660","","","","0"
"2009","Quebec [24]","2016A000224","Total property crime violations [200]","Total, youth not charged","Number","223","units","0","v67699032","1.64.13","9331","","","","0"
"2010","Quebec [24]","2016A000224","Total property crime violations [200]","Total, youth not charged","Number","223","units","0","v67699032","1.64.13","7793","","","","0"
"2011","Quebec [24]","2016A000224","Total property crime violations [200]","Total, youth not charged","Number","223","units","0","v67699032","1.64.13","6877","","","","0"
"2012","Quebec [24]","2016A000224","Total property crime violations [200]","Total, youth not charged","Number","223","units","0","v67699032","1.64.13","5951","","","","0"
"2013","Quebec [24]","2016A000224","Total property crime violations [200]","Total, youth not charged","Number","223","units","0","v67699032","1.64.13","4865","","","","0"
"2014","Quebec [24]","2016A000224","Total property crime violations [200]","Total, youth not charged","Number","223","units","0","v67699032","1.64.13","4450","","","","0"
"2015","Quebec [24]","2016A000224","Total property crime violations [200]","Total, youth not charged","Number","223","units","0","v67699032","1.64.13","4895","","","","0"
"2016","Quebec [24]","2016A000224","Total property crime violations [200]","Total, youth not charged","Number","223","units","0","v67699032","1.64.13","4865","","","","0"
"2017","Quebec [24]","2016A000224","Total property crime violations [200]","Total, youth not charged","Number","223","units","0","v67699032","1.64.13","4795","","","","0"
"2018","Quebec [24]","2016A000224","Total property crime violations [200]","Total, youth not charged","Number","223","units","0","v67699032","1.64.13","4493","","","","0"
"2019","Quebec [24]","2016A000224","Total property crime violations [200]","Total, youth not charged","Number","223","units","0","v67699032","1.64.13","4039","","","","0"
"2009","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Actual incidents","Number","223","units","0","v67701218","1.225.1","42330","","","","0"
"2010","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Actual incidents","Number","223","units","0","v67701218","1.225.1","42799","","","","0"
"2011","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Actual incidents","Number","223","units","0","v67701218","1.225.1","43005","","","","0"
"2012","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Actual incidents","Number","223","units","0","v67701218","1.225.1","46758","","","","0"
"2013","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Actual incidents","Number","223","units","0","v67701218","1.225.1","44184","","","","0"
"2014","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Actual incidents","Number","223","units","0","v67701218","1.225.1","37018","","","","0"
"2015","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Actual incidents","Number","223","units","0","v67701218","1.225.1","35157","","","","0"
"2016","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Actual incidents","Number","223","units","0","v67701218","1.225.1","39297","","","","0"
"2017","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Actual incidents","Number","223","units","0","v67701218","1.225.1","39160","","","","0"
"2018","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Actual incidents","Number","223","units","0","v67701218","1.225.1","38025","","","","0"
"2019","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Actual incidents","Number","223","units","0","v67701218","1.225.1","38147","","","","0"
"2011","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Unfounded incidents","Number","223","units","0","v1000628072","1.225.15","","..","","","0"
"2012","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Unfounded incidents","Number","223","units","0","v1000628072","1.225.15","","..","","","0"
"2013","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Unfounded incidents","Number","223","units","0","v1000628072","1.225.15","","..","","","0"
"2014","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Unfounded incidents","Number","223","units","0","v1000628072","1.225.15","","..","","","0"
"2015","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Unfounded incidents","Number","223","units","0","v1000628072","1.225.15","","..","","","0"
"2016","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Unfounded incidents","Number","223","units","0","v1000628072","1.225.15","","..","","","0"
"2017","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Unfounded incidents","Number","223","units","0","v1000628072","1.225.15","1694","","","","0"
"2018","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Unfounded incidents","Number","223","units","0","v1000628072","1.225.15","1810","","","","0"
"2019","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Unfounded incidents","Number","223","units","0","v1000628072","1.225.15","1832","","","","0"
"2009","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Total cleared","Number","223","units","0","v67701221","1.225.4","38792","","","","0"
"2010","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Total cleared","Number","223","units","0","v67701221","1.225.4","39707","","","","0"
"2011","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Total cleared","Number","223","units","0","v67701221","1.225.4","38654","","","","0"
"2012","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Total cleared","Number","223","units","0","v67701221","1.225.4","42596","","","","0"
"2013","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Total cleared","Number","223","units","0","v67701221","1.225.4","41211","","","","0"
"2014","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Total cleared","Number","223","units","0","v67701221","1.225.4","35061","","","","0"
"2015","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Total cleared","Number","223","units","0","v67701221","1.225.4","32501","","","","0"
"2016","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Total cleared","Number","223","units","0","v67701221","1.225.4","33965","","","","0"
"2017","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Total cleared","Number","223","units","0","v67701221","1.225.4","35474","","","","0"
"2018","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Total cleared","Number","223","units","0","v67701221","1.225.4","34082","","","","0"
"2019","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Total cleared","Number","223","units","0","v67701221","1.225.4","34089","","","","0"
"2009","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Total, adult charged","Number","223","units","0","v67701226","1.225.9","20765","","","","0"
"2010","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Total, adult charged","Number","223","units","0","v67701226","1.225.9","21327","","","","0"
"2011","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Total, adult charged","Number","223","units","0","v67701226","1.225.9","20217","","","","0"
"2012","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Total, adult charged","Number","223","units","0","v67701226","1.225.9","22757","","","","0"
"2013","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Total, adult charged","Number","223","units","0","v67701226","1.225.9","21719","","","","0"
"2014","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Total, adult charged","Number","223","units","0","v67701226","1.225.9","22286","","","","0"
"2015","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Total, adult charged","Number","223","units","0","v67701226","1.225.9","22899","","","","0"
"2016","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Total, adult charged","Number","223","units","0","v67701226","1.225.9","25443","","","","0"
"2017","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Total, adult charged","Number","223","units","0","v67701226","1.225.9","26012","","","","0"
"2018","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Total, adult charged","Number","223","units","0","v67701226","1.225.9","25345","","","","0"
"2019","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Total, adult charged","Number","223","units","0","v67701226","1.225.9","28179","","","","0"
"2009","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Total, youth charged","Number","223","units","0","v67701228","1.225.11","1394","","","","0"
"2010","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Total, youth charged","Number","223","units","0","v67701228","1.225.11","1412","","","","0"
"2011","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Total, youth charged","Number","223","units","0","v67701228","1.225.11","1209","","","","0"
"2012","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Total, youth charged","Number","223","units","0","v67701228","1.225.11","1593","","","","0"
"2013","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Total, youth charged","Number","223","units","0","v67701228","1.225.11","1323","","","","0"
"2014","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Total, youth charged","Number","223","units","0","v67701228","1.225.11","1211","","","","0"
"2015","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Total, youth charged","Number","223","units","0","v67701228","1.225.11","1135","","","","0"
"2016","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Total, youth charged","Number","223","units","0","v67701228","1.225.11","1134","","","","0"
"2017","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Total, youth charged","Number","223","units","0","v67701228","1.225.11","1163","","","","0"
"2018","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Total, youth charged","Number","223","units","0","v67701228","1.225.11","1152","","","","0"
"2019","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Total, youth charged","Number","223","units","0","v67701228","1.225.11","1262","","","","0"
"2009","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Total, youth not charged","Number","223","units","0","v67701230","1.225.13","659","","","","0"
"2010","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Total, youth not charged","Number","223","units","0","v67701230","1.225.13","633","","","","0"
"2011","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Total, youth not charged","Number","223","units","0","v67701230","1.225.13","543","","","","0"
"2012","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Total, youth not charged","Number","223","units","0","v67701230","1.225.13","499","","","","0"
"2013","Quebec [24]","2016A000224","Total other Criminal Code violations [300]","Total, youth not charged","Number","223","units","0","v67701230","1.225.13","564","","","","0"
