"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009","Ontario [35]","2016A000235","Total violent Criminal Code violations [100]","Actual incidents","Number","223","units","0","v68753444","1.4.1","131493","","","","0"
"2010","Ontario [35]","2016A000235","Total violent Criminal Code violations [100]","Actual incidents","Number","223","units","0","v68753444","1.4.1","130456","","","","0"
"2011","Ontario [35]","2016A000235","Total violent Criminal Code violations [100]","Actual incidents","Number","223","units","0","v68753444","1.4.1","126908","","","","0"
"2012","Ontario [35]","2016A000235","Total violent Criminal Code violations [100]","Actual incidents","Number","223","units","0","v68753444","1.4.1","121840","","","","0"
"2013","Ontario [35]","2016A000235","Total violent Criminal Code violations [100]","Actual incidents","Number","223","units","0","v68753444","1.4.1","112863","","","","0"
"2014","Ontario [35]","2016A000235","Total violent Criminal Code violations [100]","Actual incidents","Number","223","units","0","v68753444","1.4.1","107497","","","","0"
"2015","Ontario [35]","2016A000235","Total violent Criminal Code violations [100]","Actual incidents","Number","223","units","0","v68753444","1.4.1","108697","","","","0"
"2016","Ontario [35]","2016A000235","Total violent Criminal Code violations [100]","Actual incidents","Number","223","units","0","v68753444","1.4.1","111821","","","","0"
"2017","Ontario [35]","2016A000235","Total violent Criminal Code violations [100]","Actual incidents","Number","223","units","0","v68753444","1.4.1","120168","","","","0"
"2018","Ontario [35]","2016A000235","Total violent Criminal Code violations [100]","Actual incidents","Number","223","units","0","v68753444","1.4.1","129559","","","","0"
"2019","Ontario [35]","2016A000235","Total violent Criminal Code violations [100]","Actual incidents","Number","223","units","0","v68753444","1.4.1","137191","","","","0"
"2011","Ontario [35]","2016A000235","Total violent Criminal Code violations [100]","Unfounded incidents","Number","223","units","0","v1000179320","1.4.15","","..","","","0"
"2012","Ontario [35]","2016A000235","Total violent Criminal Code violations [100]","Unfounded incidents","Number","223","units","0","v1000179320","1.4.15","","..","","","0"
"2013","Ontario [35]","2016A000235","Total violent Criminal Code violations [100]","Unfounded incidents","Number","223","units","0","v1000179320","1.4.15","","..","","","0"
"2014","Ontario [35]","2016A000235","Total violent Criminal Code violations [100]","Unfounded incidents","Number","223","units","0","v1000179320","1.4.15","","..","","","0"
"2015","Ontario [35]","2016A000235","Total violent Criminal Code violations [100]","Unfounded incidents","Number","223","units","0","v1000179320","1.4.15","","..","","","0"
"2016","Ontario [35]","2016A000235","Total violent Criminal Code violations [100]","Unfounded incidents","Number","223","units","0","v1000179320","1.4.15","","..","","","0"
"2017","Ontario [35]","2016A000235","Total violent Criminal Code violations [100]","Unfounded incidents","Number","223","units","0","v1000179320","1.4.15","13941","","","","0"
"2018","Ontario [35]","2016A000235","Total violent Criminal Code violations [100]","Unfounded incidents","Number","223","units","0","v1000179320","1.4.15","11887","","","","0"
