"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009","Manitoba [46]","2016A000246","Total violent Criminal Code violations [100]","Actual incidents","Number","223","units","0","v70029194","1.4.1","26321","","","","0"
"2010","Manitoba [46]","2016A000246","Total violent Criminal Code violations [100]","Actual incidents","Number","223","units","0","v70029194","1.4.1","27092","","","","0"
"2011","Manitoba [46]","2016A000246","Total violent Criminal Code violations [100]","Actual incidents","Number","223","units","0","v70029194","1.4.1","25820","","","","0"
"2012","Manitoba [46]","2016A000246","Total violent Criminal Code violations [100]","Actual incidents","Number","223","units","0","v70029194","1.4.1","25876","","","","0"
"2013","Manitoba [46]","2016A000246","Total violent Criminal Code violations [100]","Actual incidents","Number","223","units","0","v70029194","1.4.1","23409","","","","0"
"2014","Manitoba [46]","2016A000246","Total violent Criminal Code violations [100]","Actual incidents","Number","223","units","0","v70029194","1.4.1","22046","","","","0"
"2015","Manitoba [46]","2016A000246","Total violent Criminal Code violations [100]","Actual incidents","Number","223","units","0","v70029194","1.4.1","23531","","","","0"
"2016","Manitoba [46]","2016A000246","Total violent Criminal Code violations [100]","Actual incidents","Number","223","units","0","v70029194","1.4.1","25615","","","","0"
"2017","Manitoba [46]","2016A000246","Total violent Criminal Code violations [100]","Actual incidents","Number","223","units","0","v70029194","1.4.1","26524","","","","0"
"2018","Manitoba [46]","2016A000246","Total violent Criminal Code violations [100]","Actual incidents","Number","223","units","0","v70029194","1.4.1","27045","","","","0"
"2019","Manitoba [46]","2016A000246","Total violent Criminal Code violations [100]","Actual incidents","Number","223","units","0","v70029194","1.4.1","30048","","","","0"
"2011","Manitoba [46]","2016A000246","Total violent Criminal Code violations [100]","Unfounded incidents","Number","223","units","0","v1000836120","1.4.15","","..","","","0"
"2012","Manitoba [46]","2016A000246","Total violent Criminal Code violations [100]","Unfounded incidents","Number","223","units","0","v1000836120","1.4.15","","..","","","0"
"2013","Manitoba [46]","2016A000246","Total violent Criminal Code violations [100]","Unfounded incidents","Number","223","units","0","v1000836120","1.4.15","","..","","","0"
"2014","Manitoba [46]","2016A000246","Total violent Criminal Code violations [100]","Unfounded incidents","Number","223","units","0","v1000836120","1.4.15","","..","","","0"
"2015","Manitoba [46]","2016A000246","Total violent Criminal Code violations [100]","Unfounded incidents","Number","223","units","0","v1000836120","1.4.15","","..","","","0"
"2016","Manitoba [46]","2016A000246","Total violent Criminal Code violations [100]","Unfounded incidents","Number","223","units","0","v1000836120","1.4.15","","..","","","0"
"2017","Manitoba [46]","2016A000246","Total violent Criminal Code violations [100]","Unfounded incidents","Number","223","units","0","v1000836120","1.4.15","3542","","","","0"
"2018","Manitoba [46]","2016A000246","Total violent Criminal Code violations [100]","Unfounded incidents","Number","223","units","0","v1000836120","1.4.15","3069","","","","0"
